"";"id";"module";"supermodule";"dim_1";"dim_2"
"3325";"Sema6a";"3";"1";-1,59784440783396;-0,0327506830306206
"3326";"Rars";"26";"1";4,26171024056539;2,13672904471444
"3327";"Snhg12";"30";"1";2,72025902482137;-0,89804096718742
"3328";"Hnrnpu";"43";"1";2,00645144196615;5,18157665232705
"3329";"Gfra3";"34";"1";-2,15898995188609;-3,67348869343711
"3330";"Nudt18";"37";"1";-0,808979616440683;-1,64618142147972
"3331";"Txndc15";"5";"1";-0,0850899079217008;-1,82079895039512
"3332";"Ndst1";"36";"1";1,82547695847616;1,86389212111519
"3333";"Tmem183a";"9";"1";3,60076196404561;2,33411674002694
"3334";"Srsf7";"12";"1";1,42736799927816;4,73324243525551
"3335";"Gemin7";"27";"1";-0,747939289487748;-2,10125573178245
"3336";"Nfe2l2";"22";"1";0,950367762766928;3,27633087138222
"3337";"Anp32b";"49";"1";2,01089174958333;-3,064669447145
"3338";"Degs1";"8";"1";2,98197849007711;4,3390752504258
"3339";"Sh3rf1";"13";"1";2,40453417512044;2,76283184985207
"3340";"Aldh7a1";"31";"1";-2,05582825926676;-0,22392751475288
